fecha,asesor,producto,valor_Base,cantidad,valor_comision
2026-06-01,Cristhiam Adrian Botero Rojas,MIELTERTOS PASTILLAS MASTICABLES * 12 S/S,"2,800",10,280
2026-06-01,Cristhiam Adrian Botero Rojas,POSTDAY * 2 TAB,"38,000",20,"3,800"
2026-06-01,Cristhiam Adrian Botero Rojas,PRAZED 20 MG * 30 CAP L-CONSUM,"10,500",10,"1,050"
2026-06-01,Cristhiam Adrian Botero Rojas,TENSOFAR 100 MG * 30 TAB L-CONSUM,"24,000",10,"2,400"
2026-06-01,Esteban Sandoval,ACETAMINOFEN 500 MG * 100 TAB,"3,000",12,360
2026-06-01,Esteban Sandoval,AMPLIEX 500 MG * 100 CAP,"17,000",12,"2,040"
2026-06-01,Esteban Sandoval,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"5,200",10,520
2026-06-01,Esteban Sandoval,GLICERTOX NF JBE * 125 ML,"76,200",24,"9,144"
2026-06-01,Esteban Sandoval,MICOTOPIC CREMA * 40 GR  L-GINEC,"46,500",10,"4,650"
2026-06-01,Esteban Sandoval,MIELTERTOS PASTILLAS MASTICABLES * 12 S/S,"2,800",10,280
2026-06-01,Esteban Sandoval,VITAMINA C+B2+ZINC *20 TAB,"21,849",5,"1,092"
2026-06-02,John Pablo  Hernandez  Arevalo,ACETAMINOFEN 500 MG * 100 TAB,"6,000",24,720
2026-06-02,John Pablo  Hernandez  Arevalo,ACETAMINOFEN JBE * 90 ML,"27,000",10,"2,700"
2026-06-02,John Pablo  Hernandez  Arevalo,ADIFAR * 20 TAB,"23,000",10,"2,300"
2026-06-02,John Pablo  Hernandez  Arevalo,AGUA FARMANORTE * 600 ML,"2,600",5,130
2026-06-02,John Pablo  Hernandez  Arevalo,BIOPRONNABIS CANNABIS SATIVA BARRA LABIAL * 5 GR,"14,202",10,"1,420"
2026-06-02,John Pablo  Hernandez  Arevalo,CEFALEXINA 500 MG * 50 TAB,"13,000",10,"1,300"
2026-06-02,John Pablo  Hernandez  Arevalo,CEFLAXILIN 500 MG * 20 CAP,"31,000",12,"3,720"
2026-06-02,John Pablo  Hernandez  Arevalo,DICLOFENACO + HIDROXIDO ALUMINIO * 10 CAP,"22,600",5,"1,130"
2026-06-02,John Pablo  Hernandez  Arevalo,DICLOXACILINA 500 MG * 50 CAP,"11,000",10,"1,100"
2026-06-02,John Pablo  Hernandez  Arevalo,DOLORSIN FEM * 40 CAP L-TR-CAPS,"9,200",8,736
2026-06-02,John Pablo  Hernandez  Arevalo,EREX BEBIDA 20 ML * 20 S/S,"9,600",20,960
2026-06-02,John Pablo  Hernandez  Arevalo,FARMALAX 5 MG * 10 GRAG,"6,300",10,630
2026-06-02,John Pablo  Hernandez  Arevalo,HIDROPIEL CREMA 2% * 30 GR,"18,100",10,"1,810"
2026-06-02,John Pablo  Hernandez  Arevalo,LEVOTIROXINA 25 MG * 30 TAB,"19,200",10,"1,920"
2026-06-02,John Pablo  Hernandez  Arevalo,NORIFLAM 75MG/3ML * 6 AMP,"6,400",10,640
2026-06-02,John Pablo  Hernandez  Arevalo,NOVOXICAN 15 MG * 10 TAB,"18,500",10,"1,850"
2026-06-02,John Pablo  Hernandez  Arevalo,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,"11,900",5,595
2026-06-02,John Pablo  Hernandez  Arevalo,SIFEI 200 MG * 5 CAP,"47,300",10,"4,730"
2026-06-02,John Pablo  Hernandez  Arevalo,SUREZINC TRANSFER KIDS VAINILLA * 400 GR,"56,500",15,"8,475"
2026-06-02,John Pablo  Hernandez  Arevalo,VITAMINA C+B2+ZINC *20 TAB,"21,849",5,"1,092"
2026-06-02,John Pablo  Hernandez  Arevalo,VITAMINA E 1000 IU + SELENIUM * 60 SOFTGELS,"11,765",10,"1,176"
2026-06-02,Cristhiam Adrian Botero Rojas,AGUA FARMANORTE * 600 ML,"5,200",10,260
2026-06-02,Cristhiam Adrian Botero Rojas,AVALPRIC SUSP * 120 ML,"19,800",10,"1,980"
2026-06-02,Cristhiam Adrian Botero Rojas,CLINDABACT 2% CREMA VAGINAL * 20 GR,"46,500",10,"4,650"
2026-06-02,Cristhiam Adrian Botero Rojas,FYBOFORT PSYLLIUM MICRONIZADO * 12 S/S,"3,700",10,370
2026-06-02,Cristhiam Adrian Botero Rojas,MULTI - WOMEN * 100 TAB,"89,500",10,"8,950"
2026-06-02,Cristhiam Adrian Botero Rojas,NITAHELMIN 100MG/5ML * 30 ML,"29,900",10,"2,990"
2026-06-02,Cristhiam Adrian Botero Rojas,NITROFURANTOINA 100 MG * 40 CAP,"35,800",10,"3,580"
2026-06-02,Cristhiam Adrian Botero Rojas,OMEGA 3 PLUS * 50 CAP (OFERTA 2X1),"64,706",10,"6,471"
2026-06-02,Cristhiam Adrian Botero Rojas,QUETIAPINA 25 MG * 30 TAB,"16,700",10,"1,670"
2026-06-02,Cristhiam Adrian Botero Rojas,SUREZINC TRANSFER FACTOR PLUS * 30 S/S,"6,000",15,900
2026-06-02,Cristhiam Adrian Botero Rojas,SUREZINC TRANSFER VAINILLA * 400 GR,"56,500",15,"8,475"
2026-06-02,Cristhiam Adrian Botero Rojas,TIAMINA 300 MG * 50 CAP L-CONSUM,"8,000",10,800
2026-06-02,Cristhiam Adrian Botero Rojas,VITAMINA C+B2+ZINC *20 TAB,"21,849",5,"1,092"
2026-06-03,John Pablo  Hernandez  Arevalo,AGUA FARMANORTE * 600 ML,"7,800",15,390
2026-06-03,John Pablo  Hernandez  Arevalo,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"5,200",20,520
2026-06-03,John Pablo  Hernandez  Arevalo,CEFALEXINA 500 MG * 50 TAB,"13,000",10,"1,300"
2026-06-03,John Pablo  Hernandez  Arevalo,MELOXICAM 15 MG * 10 TAB,"16,200",10,"1,620"
2026-06-03,John Pablo  Hernandez  Arevalo,NORIFLAM 75MG/3ML * 6 AMP,"12,800",10,"1,280"
2026-06-03,John Pablo  Hernandez  Arevalo,OKAP 37.5/325MG * 10 CAP,"54,700",10,"5,470"
2026-06-03,John Pablo  Hernandez  Arevalo,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,"11,900",5,595
2026-06-03,John Pablo  Hernandez  Arevalo,ROCIBLUE 50 MG * 2 TAB,"20,800",10,"2,080"
2026-06-03,John Pablo  Hernandez  Arevalo,TRICLIMBAC SOLUCION OTICA * 10 ML,"19,200",12,"2,304"
2026-06-03,Cristhiam Adrian Botero Rojas,ACED FULL MENTA * 360 ML,"35,600",12,"4,272"
2026-06-03,Cristhiam Adrian Botero Rojas,AGUA FARMANORTE * 600 ML,"2,600",5,130
2026-06-03,Cristhiam Adrian Botero Rojas,ATROMIZIN 500 MG * 3 TAB,"24,900",10,"2,490"
2026-06-03,Cristhiam Adrian Botero Rojas,BACTRODERM ESPUMA * 60 ML,"14,000",10,"1,400"
2026-06-03,Cristhiam Adrian Botero Rojas,BACTRODERM SOLUCION * 60 ML,"11,000",10,"1,100"
2026-06-03,Cristhiam Adrian Botero Rojas,BINAFAR 200/500MG * 24 TAB,"32,000",24,"3,840"
2026-06-03,Cristhiam Adrian Botero Rojas,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"2,600",10,260
2026-06-03,Cristhiam Adrian Botero Rojas,EREX BEBIDA 20 ML * 20 S/S,"3,200",10,320
2026-06-03,Cristhiam Adrian Botero Rojas,FINACID REFLU S/AZUCAR * 360 ML,"43,500",10,"4,350"
2026-06-03,Cristhiam Adrian Botero Rojas,MELATONINA 3 MG * 120 SOFTGELS,"52,800",5,"2,640"
2026-06-03,Cristhiam Adrian Botero Rojas,MELOXICAM 15 MG * 10 TAB,"16,200",10,"1,620"
2026-06-03,Cristhiam Adrian Botero Rojas,NAPROXENO 250 MG * 10 TAB,"14,400",20,"1,440"
2026-06-03,Cristhiam Adrian Botero Rojas,OKAP FORTE 250/20MG * 10 CAP,"21,700",10,"2,170"
2026-06-03,Cristhiam Adrian Botero Rojas,PIEL RETARDANTE * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-03,Cristhiam Adrian Botero Rojas,POSTDAY * 2 TAB,"19,000",10,"1,900"
2026-06-03,Cristhiam Adrian Botero Rojas,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,"23,800",10,"1,190"
2026-06-04,Wilmer Armando  Durã¡N Malagon,HISLORT 10 MG * 10 TAB /D24/,"24,100",12,"2,892"
2026-06-04,John Pablo  Hernandez  Arevalo,ACETAMINOFEN JBE * 90 ML,"9,000",10,900
2026-06-04,John Pablo  Hernandez  Arevalo,AMOXICILINA 500 MG * 50 CAP,"9,000",10,900
2026-06-04,John Pablo  Hernandez  Arevalo,ASMIKET JBE * 120 ML,"19,500",12,"2,340"
2026-06-04,John Pablo  Hernandez  Arevalo,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"2,600",10,260
2026-06-04,John Pablo  Hernandez  Arevalo,CEFLAXILIN 500 MG * 20 CAP,"61,700",12,"7,404"
2026-06-04,John Pablo  Hernandez  Arevalo,CRONOFEN L JBE * 100 ML  L-RESPI-RIN,"18,500",10,"1,850"
2026-06-04,John Pablo  Hernandez  Arevalo,DIOSMIT 3 GR * 6 S/S,"45,000",8,"3,600"
2026-06-04,John Pablo  Hernandez  Arevalo,HEDERA HELIX + PROPOLEO JBE * 100 ML,"25,100",10,"2,510"
2026-06-04,John Pablo  Hernandez  Arevalo,LOPERAMIDA 2 MG * 6 TAB,"15,200",20,"1,520"
2026-06-04,John Pablo  Hernandez  Arevalo,LORDINEX 10 MG * 10 TAB L-CONSUM,"8,900",8,712
2026-06-04,John Pablo  Hernandez  Arevalo,NAPROXENO 500 MG * 10 TAB,"30,000",20,"3,000"
2026-06-04,John Pablo  Hernandez  Arevalo,NORIFLAM 75MG/3ML * 6 AMP,"6,400",10,640
2026-06-04,John Pablo  Hernandez  Arevalo,OKAP FORTE 250/20MG * 10 CAP,"11,000",10,"1,100"
2026-06-04,John Pablo  Hernandez  Arevalo,VITAMINA C + ZINC NARANJA * 100 TAB,"5,882",10,588
2026-06-04,Cristhiam Adrian Botero Rojas,ACED FULL MENTA * 360 ML,"35,600",12,"4,272"
2026-06-04,Cristhiam Adrian Botero Rojas,ACETAMINOFEN 500 MG * 100 TAB,"9,000",24,"1,080"
2026-06-04,Cristhiam Adrian Botero Rojas,ACETAMINOFEN JBE * 90 ML,"9,000",10,900
2026-06-04,Cristhiam Adrian Botero Rojas,ADIFAR * 20 TAB,"23,000",10,"2,300"
2026-06-04,Cristhiam Adrian Botero Rojas,AGUA FARMANORTE * 600 ML,"15,600",10,780
2026-06-04,Cristhiam Adrian Botero Rojas,AZITROMICINA 500 MG * 3 TAB,"18,500",12,"2,220"
2026-06-04,Cristhiam Adrian Botero Rojas,CLORFENIRAMINA JBE * 120 ML,"8,300",10,830
2026-06-04,Cristhiam Adrian Botero Rojas,IBUPROFENO 800 MG * 50 TAB,"5,000",10,500
2026-06-04,Cristhiam Adrian Botero Rojas,OMEGA 3 PLUS * 50 CAP (OFERTA 2X1),"64,706",10,"6,471"
2026-06-04,Cristhiam Adrian Botero Rojas,OXIMETAZOLINA 0.05% NASAL ADULTOS * 15 ML,"18,300",11,"2,013"
2026-06-04,Cristhiam Adrian Botero Rojas,PASEDOL 50 MG * 12 TAB,"4,800",10,480
2026-06-04,Cristhiam Adrian Botero Rojas,RESVERATROL POLVO SABOR UVA * 500 GR,"59,900",10,"5,990"
2026-06-04,Cristhiam Adrian Botero Rojas,VITAMINA C+B2+ZINC *20 TAB,"21,849",5,"1,092"
2026-06-04,Cristhiam Adrian Botero Rojas,VYASIL 50 MG * 2 TAB,"19,900",10,"1,990"
2026-06-05,John Pablo  Hernandez  Arevalo,BIOCOTRYL 1% CREMA TOPICA * 40 GR,"19,900",10,"1,990"
2026-06-05,John Pablo  Hernandez  Arevalo,CLINBAC 300 MG * 24 CAP,"24,000",12,"2,880"
2026-06-05,John Pablo  Hernandez  Arevalo,DOSALDIN * 20 TAB,"16,000",12,"1,920"
2026-06-05,John Pablo  Hernandez  Arevalo,GOFEN FORTE 400 MG * 60 CAP,"14,000",10,"1,400"
2026-06-05,John Pablo  Hernandez  Arevalo,MIELTERTOS GRIPA NOCHE PANELA LIMON * 24 S/S,"5,400",20,540
2026-06-05,John Pablo  Hernandez  Arevalo,PROCATEC 500 MG * 10 TAB,"18,000",10,"1,800"
2026-06-05,John Pablo  Hernandez  Arevalo,ZIRIN 10 MG * 50 CAP,"17,000",10,"1,700"
2026-06-05,Cristhiam Adrian Botero Rojas,ACETAMINOFEN 500 MG * 100 TAB,"3,000",12,360
2026-06-05,Cristhiam Adrian Botero Rojas,AGUA FARMANORTE * 600 ML,"2,600",5,130
2026-06-05,Cristhiam Adrian Botero Rojas,AMOXICILINA 500 MG * 50 CAP,"9,000",10,900
2026-06-05,Cristhiam Adrian Botero Rojas,AMPLIEX 250 MG * 60 ML,"24,800",12,"2,976"
2026-06-05,Cristhiam Adrian Botero Rojas,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"7,800",20,780
2026-06-05,Cristhiam Adrian Botero Rojas,CONGESTEX * 10 CAP,"17,500",10,"1,750"
2026-06-05,Cristhiam Adrian Botero Rojas,DICLOFENACO 25 MG + TRAMADOL 25 MG * 20 TAB,"61,900",8,"4,952"
2026-06-05,Cristhiam Adrian Botero Rojas,EREX BEBIDA * 500 ML,"45,900",10,"4,590"
2026-06-05,Cristhiam Adrian Botero Rojas,FYBOFORT PSYLLIUM MICRONIZADO * 12 S/S,"3,700",10,370
2026-06-05,Cristhiam Adrian Botero Rojas,GRIPAC 4 * 10 CAP,"21,900",10,"2,190"
2026-06-05,Cristhiam Adrian Botero Rojas,GRIPAC 4 * 100 CAP,"10,500",12,"1,260"
2026-06-05,Cristhiam Adrian Botero Rojas,NAPROXENO 500 MG * 10 TAB,"30,000",20,"3,000"
2026-06-05,Cristhiam Adrian Botero Rojas,NITROFURANTOINA 100 MG * 40 CAP,"9,000",10,900
2026-06-05,Cristhiam Adrian Botero Rojas,OXIMETAZOLINA 0.05% NASAL ADULTOS * 15 ML,"18,300",11,"2,013"
2026-06-05,Cristhiam Adrian Botero Rojas,PIEL RETARDANTE * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-05,Cristhiam Adrian Botero Rojas,PIEL SABORES * 3 PRESERVATIVOS,"21,000",20,"2,100"
2026-06-05,Cristhiam Adrian Botero Rojas,POSTDAY * 2 TAB,"19,000",10,"1,900"
2026-06-05,Cristhiam Adrian Botero Rojas,SUREZINC TRANSFER FACTOR PLUS * 30 S/S,"12,000",15,"1,800"
2026-06-05,Cristhiam Adrian Botero Rojas,TUDERMIFAR 0.05% * 40 GR,"24,000",12,"2,880"
2026-06-05,Cristhiam Adrian Botero Rojas,VIGA SEX GEL LUBRICANTE INTIMO * 100 GR,"30,756",10,"3,076"
2026-06-05,Cristhiam Adrian Botero Rojas,VITAMINA C + ZINC TUTI FRUTI * 100 TAB,"11,765",10,"1,176"
2026-06-05,Cristhiam Adrian Botero Rojas,ZERIDIL JBE * 60 ML,"18,600",12,"2,232"
2026-06-06,John Pablo  Hernandez  Arevalo,AGUA FARMANORTE * 600 ML,"5,200",10,260
2026-06-06,John Pablo  Hernandez  Arevalo,CEFALEXINA 500 MG * 50 TAB,"13,000",10,"1,300"
2026-06-06,John Pablo  Hernandez  Arevalo,COLESPAS 10 MG * 30 TAB,"39,600",12,"4,752"
2026-06-06,John Pablo  Hernandez  Arevalo,DOLORSIN FEM * 40 CAP L-TR-CAPS,"18,400",16,"1,472"
2026-06-06,John Pablo  Hernandez  Arevalo,EREX BEBIDA 20 ML * 20 S/S,"3,200",10,320
2026-06-06,John Pablo  Hernandez  Arevalo,GENTAMICINA OFTALMICO * 6 ML,"10,500",8,840
2026-06-06,John Pablo  Hernandez  Arevalo,MEGA VIT ADVANCE * 2 TAB,"12,000",15,"1,800"
2026-06-06,John Pablo  Hernandez  Arevalo,PIEL SENSITIVO * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-06,Cristhiam Adrian Botero Rojas,ACETAMINOFEN 500 MG * 100 TAB,"3,000",12,360
2026-06-06,Cristhiam Adrian Botero Rojas,ADIFAR * 20 TAB,"23,000",10,"2,300"
2026-06-06,Cristhiam Adrian Botero Rojas,AMOXICILINA 500 MG * 50 CAP,"9,000",10,900
2026-06-06,Cristhiam Adrian Botero Rojas,EREX BEBIDA 20 ML * 20 S/S,"6,400",10,640
2026-06-06,Cristhiam Adrian Botero Rojas,IBUPROFENO 800 MG * 50 TAB,"5,000",10,500
2026-06-06,Cristhiam Adrian Botero Rojas,OKAP FORTE 250/20MG * 10 CAP,"21,700",10,"2,170"
2026-06-06,Cristhiam Adrian Botero Rojas,PIEL INTENSE * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-06,Cristhiam Adrian Botero Rojas,PIEL RETARDANTE * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-06,Cristhiam Adrian Botero Rojas,RANIMED PLUS * 24 S/S /D19/,"5,800",10,580
2026-06-06,Cristhiam Adrian Botero Rojas,TENSOFAR 50 MG * 30 TAB L-CONSUM,"38,600",10,"3,860"
2026-06-07,John Pablo  Hernandez  Arevalo,ACETAMINOFEN 500 MG * 100 TAB,"6,000",12,720
2026-06-07,John Pablo  Hernandez  Arevalo,AGUA FARMANORTE * 600 ML,"2,600",5,130
2026-06-07,John Pablo  Hernandez  Arevalo,AMPLIEX 500 MG * 100 CAP,"17,000",12,"2,040"
2026-06-07,John Pablo  Hernandez  Arevalo,BINAFAR 200/500MG * 24 TAB,"16,000",12,"1,920"
2026-06-07,John Pablo  Hernandez  Arevalo,CLINBAC 300 MG * 24 CAP,"24,000",12,"2,880"
2026-06-07,John Pablo  Hernandez  Arevalo,CRONOFEN L JBE * 100 ML  L-RESPI-RIN,"18,500",10,"1,850"
2026-06-07,John Pablo  Hernandez  Arevalo,DOLORSIN FEM * 40 CAP L-TR-CAPS,"18,400",16,"1,472"
2026-06-07,John Pablo  Hernandez  Arevalo,EREX BEBIDA 20 ML * 20 S/S,"3,200",10,320
2026-06-07,John Pablo  Hernandez  Arevalo,LOPERAMIDA 2 MG * 6 TAB,"7,600",10,760
2026-06-07,John Pablo  Hernandez  Arevalo,LOSARTAN E CARDIO 50 MG * 300 TAB,"53,700",10,"5,370"
2026-06-07,John Pablo  Hernandez  Arevalo,PIEL SENSITIVO * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-07,John Pablo  Hernandez  Arevalo,POSTDAY * 2 TAB,"38,000",20,"3,800"
2026-06-07,John Pablo  Hernandez  Arevalo,PRAZED 20 MG * 30 CAP L-CONSUM,"10,500",10,"1,050"
2026-06-07,John Pablo  Hernandez  Arevalo,SUREZINC TRANSFER FACTOR PLUS * 30 S/S,"9,000",15,"1,350"
2026-06-07,John Pablo  Hernandez  Arevalo,VYASIL 50 MG * 2 TAB,"19,900",10,"1,990"
2026-06-07,Cristhiam Adrian Botero Rojas,AMOXICILINA 500 MG * 50 CAP,"18,000",10,"1,800"
2026-06-07,Cristhiam Adrian Botero Rojas,COLESPAS 10 MG * 30 TAB,"14,000",12,"1,680"
2026-06-07,Cristhiam Adrian Botero Rojas,DICLOFENACO 75 MG / 3 ML * 10 AMP,"3,600",10,360
2026-06-07,Cristhiam Adrian Botero Rojas,DICLOFENACO R 100 MG * 20 CAP,"8,000",8,640
2026-06-08,John Pablo  Hernandez  Arevalo,AGUA FARMANORTE * 600 ML,"5,200",10,260
2026-06-08,John Pablo  Hernandez  Arevalo,AMOXICILINA 500 MG * 50 CAP,"9,000",10,900
2026-06-08,John Pablo  Hernandez  Arevalo,AMPLIEX 500 MG * 100 CAP,"17,000",12,"2,040"
2026-06-08,John Pablo  Hernandez  Arevalo,AVARIN * 10 CAP,"51,000",10,"5,100"
2026-06-08,John Pablo  Hernandez  Arevalo,AZITROMICINA 500 MG * 3 TAB,"37,000",12,"4,440"
2026-06-08,John Pablo  Hernandez  Arevalo,BIOPRONNABIS CANNABIS SATIVA BARRA LABIAL * 5 GR,"14,202",10,"1,420"
2026-06-08,John Pablo  Hernandez  Arevalo,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"2,600",10,260
2026-06-08,John Pablo  Hernandez  Arevalo,CEFLAXILIN 500 MG * 20 CAP,"31,000",12,"3,720"
2026-06-08,John Pablo  Hernandez  Arevalo,CLOBENT 0.05 % CREMA * 40 GR,"32,300",10,"3,230"
2026-06-08,John Pablo  Hernandez  Arevalo,CLOMAZOL 1 % CREMA * 40 GR,"30,300",12,"3,636"
2026-06-08,John Pablo  Hernandez  Arevalo,CONGESTEX G KIDS * 90 ML L-TR-CAP,"25,200",5,"1,260"
2026-06-08,John Pablo  Hernandez  Arevalo,COPROBIOTIC + PREBIOTICOS + PROBIOTICOS * 20 S/S,"4,500",10,450
2026-06-08,John Pablo  Hernandez  Arevalo,DICLOXACILINA 500 MG * 50 CAP,"11,000",10,"1,100"
2026-06-08,John Pablo  Hernandez  Arevalo,DOLORSIN FEM * 40 CAP L-TR-CAPS,"9,200",8,736
2026-06-08,John Pablo  Hernandez  Arevalo,GOFEN FORTE 400 MG * 60 CAP,"28,000",20,"2,800"
2026-06-08,John Pablo  Hernandez  Arevalo,GRIPAC 4 * 100 CAP,"21,000",12,"2,520"
2026-06-08,John Pablo  Hernandez  Arevalo,IBUPROFENO 800 MG * 50 TAB,"15,000",30,"1,500"
2026-06-08,John Pablo  Hernandez  Arevalo,LEVOTIROXINA 75 MG * 30 TAB,"45,600",10,"4,560"
2026-06-08,John Pablo  Hernandez  Arevalo,MICOTOPIC CREMA * 40 GR  L-GINEC,"46,500",10,"4,650"
2026-06-08,John Pablo  Hernandez  Arevalo,NAPROXENO 550 MG * 10 TAB,"16,000",8,"1,280"
2026-06-08,John Pablo  Hernandez  Arevalo,OKAP FORTE 250/20MG * 10 CAP,"21,700",10,"2,170"
2026-06-08,John Pablo  Hernandez  Arevalo,POSTDAY * 2 TAB,"38,000",20,"3,800"
2026-06-08,John Pablo  Hernandez  Arevalo,PROCATEC 500 MG * 10 TAB,"18,000",10,"1,800"
2026-06-08,John Pablo  Hernandez  Arevalo,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,"11,900",5,595
2026-06-08,John Pablo  Hernandez  Arevalo,VITAMINA C + ZINC NARANJA * 100 TAB,"5,882",10,588
2026-06-08,John Pablo  Hernandez  Arevalo,VITAMINA C+B2+ZINC *20 TAB,"21,849",5,"1,092"
2026-06-08,Jefferson Andres Castrillon  Piã±Uela,DOSALDIN * 20 TAB,"16,000",12,"1,920"
2026-06-08,Jefferson Andres Castrillon  Piã±Uela,PROCATEC 500 MG * 10 TAB,"18,000",10,"1,800"
2026-06-08,Jefferson Andres Castrillon  Piã±Uela,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,"11,900",5,595
2026-06-09,John Pablo  Hernandez  Arevalo,BRONCOMIELITO TABLETAS MASTICABLES * 24 S/S,"5,200",20,520
2026-06-09,John Pablo  Hernandez  Arevalo,CLOTRIMAZOL CREMA TOPICA * 40 GR,"13,700",10,"1,370"
2026-06-09,John Pablo  Hernandez  Arevalo,EREX BEBIDA 20 ML * 20 S/S,"6,400",10,640
2026-06-09,John Pablo  Hernandez  Arevalo,MELOXICAM 15 MG * 10 TAB,"16,200",10,"1,620"
2026-06-09,John Pablo  Hernandez  Arevalo,NAPROXENO 500 MG * 10 TAB,"15,000",10,"1,500"
2026-06-09,John Pablo  Hernandez  Arevalo,PASEDOL 50 MG * 12 TAB,"14,200",10,"1,420"
2026-06-09,John Pablo  Hernandez  Arevalo,PIEL RESISTENTE * 3 PRESERVATIVOS,"10,500",10,"1,050"
2026-06-09,John Pablo  Hernandez  Arevalo,RANIMED PLUS * 24 S/S /D19/,"2,900",10,290
2026-06-09,Cristhiam Adrian Botero Rojas,BACTRODERM ESPUMA * 60 ML,"14,000",10,"1,400"
2026-06-09,Cristhiam Adrian Botero Rojas,CLINDABACT 100/100MG * 3 OVULOS,"37,500",12,"4,500"
2026-06-09,Cristhiam Adrian Botero Rojas,MELOXICAM 15 MG * 10 TAB,"16,200",10,"1,620"
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,AGUA FARMANORTE * 600 ML,"7,800",15,390
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,AGUA OXIGENADA * 120 ML,"6,500",5,325
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,ALVIRET 800 MG * 10 TAB,"24,000",10,"2,400"
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,AMOXICILINA 500 MG * 50 CAP,"9,000",10,900
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,ARTHILESS 1% GEL TOPICO * 50 GR /D24/,"34,400",12,"4,128"
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,AZITROMICINA 500 MG * 3 TAB,"18,500",12,"2,220"
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,BACTISOL * 10 TAB,"23,500",12,"2,820"
2026-06-09,Jefferson Andres Castrillon  Piã±Uela,DICLOFENACO + HIDROXIDO ALUMINIO * 10 CAP,"22,600",5,"1,130"
